district	stationname	address	n_space	lng	lat	goodstationname
信義區	吳興公車總站	松仁路/吳興街交叉口	36	121.569836	25.023877	吳興公車總站
文山區	捷運景美站	羅斯福路六段/景中街交叉口(東北側)	52	121.541059	24.993254	捷運景美站
萬華區	東園國小	東園街/萬大路344巷(東南側)	36	121.497679	25.023393	東園國小
松山區	三民公園	撫遠街/富錦街(東南側)	30	121.566558	25.061567	三民公園
士林區	捷運劍潭站(2號出口)	基河路18號對面	52	121.524721	25.082825	捷運劍潭站(2號出口)
文山區	羅斯福景華街口	羅斯福路六段/景隆街交叉口(東南側)	48	121.540197	24.999378	羅斯福景隆街口
大同區	捷運雙連站	民生西路/萬全街(東北側)	42	121.520711	25.057866	捷運雙連站(2號出口)
中正區	金山市民路口	金山北路/市民大道三段(南側)	40	121.530697	25.045753	金山市民路口
中正區	華山文創園區	忠孝東路二段41號前	52	121.528487	25.043668	華山文創園區
中正區	臺北市客家文化主題公園	師大路/汀州路交叉口	32	121.525322	25.02043	臺北市客家文化主題公園
萬華區	萬大興寧路口	萬大路/興寧街(西南側)	52	121.500474	25.031974	萬大興寧街口
文山區	台北花木批發市場	萬盛街/興隆路一段(西北側)	38	121.54074	25.004023	台北花木批發市場
萬華區	峨嵋停車場	昆明街/西寧南路50巷(東南側)	42	121.505409	25.044412	峨嵋停車場
萬華區	西園艋舺路口	西園路二段/艋舺大道(西南側)	44	121.497674	25.032932	西園艋舺路口
中正區	捷運小南門站(1號出口)	博愛路/愛國西路交叉口(西北側)	50	121.509422	25.036402	捷運小南門站(1號出口)
大同區	臺北孔廟	哈密街59巷/哈密街(東北側)	32	121.515843	25.073306	臺北孔廟
中山區	林安泰古厝	吉林路/民族東路(北側)	46	121.530805	25.071606	林安泰古厝
內湖區	文湖國小	文湖街21巷/文湖街(東北側)	40	121.560888	25.086376	文湖國小
大安區	捷運忠孝復興站(2號出口)	復興南路一段/仁愛路三段123巷13弄(西北側)	54	121.543497	25.040184	捷運忠孝復興站(2號出口)
北投區	捷運新北投站	大業路/中和街交叉口	48	121.503124	25.137456	捷運新北投站
信義區	仁愛逸仙路口	仁愛路四段/逸仙路(西北側)	38	121.561178	25.037724	仁愛逸仙路口
士林區	蘭雅公園	忠誠路二段/忠誠路二段40巷(西南側)	30	121.530386	25.109908	蘭雅公園
中正區	臺北轉運站	中山北路一段/市民大道一段(西北側)	70	121.520526	25.048222	臺北轉運站
士林區	福林公園	志成街/中正路(南側)	44	121.530215	25.096122	福林公園
北投區	捷運北投站 	光明路2 巷/光明路交叉口	58	121.498618	25.132581	捷運北投站
北投區	大業大同街口	大業路/大同街口	36	121.499152	25.136929	大業大同街口
中山區	捷運劍南路站(2號出口)	敬業二路/植福路(東北側)	56	121.555116	25.08418	捷運劍南路站(2號出口)
萬華區	捷運龍山寺站(1號出口)	和平西路三段/和平西路三段109巷(西北側)	46	121.50026	25.035479	捷運龍山寺站(1號出口)
中山區	龍江南京路口	龍江路110號對面停車場	66	121.540568	25.05298	龍江南京路口
內湖區	捷運港墘站(2號出口)	內湖路一段/港墘路(東南側)	50	121.575458	25.079681	捷運港墘站(2號出口)
士林區	天母運動公園	忠誠路二段/忠誠路二段207巷(東南側)	44	121.534136	25.116325	天母運動公園
北投區	振華公園	振華街36號對面	36	121.518163	25.115863	振華公園
萬華區	華西公園	華西街/桂林路(東北側)	30	121.498495	25.038609	華西公園
大安區	@敦化基隆路口	敦化南路二段/基隆路二段交叉口	30	121.548336	25.022073	敦化基隆路口
內湖區	東湖國中	康樂街/康樂街125巷(東南側)	32	121.619521	25.073277	東湖國中
大安區	成功國宅	四維路198巷/和平東路三段1巷	40	121.546726	25.026808	成功國宅
內湖區	捷運文德站(2號出口)	文德路220巷/文德路(西南側)	50	121.585264	25.078292	捷運文德站(2號出口)
中正區	羅斯福寧波東街口	羅斯福路一段/寧波東街(東南側)	26	121.519411	25.031445	羅斯福寧波東街口
內湖區	洲子二號公園	瑞光路500號對面	34	121.568688	25.079322	洲子二號公園
大安區	羅斯福新生南路口	羅斯福路四段/新生南路三段交叉口	88	121.5331757	25.01603085	羅斯福新生南路口
士林區	蘭興公園 	中山北路六段/士東路(西北側)	42	121.525888	25.111839	蘭興公園
士林區	捷運芝山站(2號出口)	福華路/福華路162巷(東南側)	64	121.522629	25.10336	捷運芝山站(2號出口)
北投區	捷運石牌站(2號出口)	東華街一段/裕民二路(西側)	54	121.515677	25.114513	捷運石牌站(2號出口)
北投區	國立臺北護理健康大學	石牌路二段130巷/石牌路二段(東南側)	30	121.517512	25.118049	國立臺北護理健康大學
北投區	國防大學	中央北路二段/豐年路二段交叉口	46	121.493066	25.137976	國防大學
信義區	捷運永春站(2號出口)	忠孝東路五段420號旁(東側巷道上)	30	121.575372	25.040558	捷運永春站(2號出口)
大同區	永樂市場	民樂街/南京西路233巷(西北側)	30	121.510549	25.054501	永樂市場
大同區	捷運大橋頭站(2號出口)	民權西路/重慶北路三段(東北側)	46	121.512909	25.063404	捷運大橋頭站(2號出口)
文山區	文山行政中心	木柵路三段220號前	36	121.569984	24.989902	文山行政中心
文山區	捷運木柵站	木柵路四段82巷18號前(捷運橋樑下)	52	121.574214	24.997747	捷運木柵站
文山區	捷運動物園站(2號出口)	新光路二段28號前	72	121.578752	24.997659	捷運動物園站(2號出口)
文山區	國立政治大學	萬壽路16巷6號前	66	121.576536	24.988363	國立政治大學
大同區	樹德公園	大龍街/大龍街85巷(東北側)	40	121.516149	25.066688	樹德公園
士林區	捷運士林站(2號出口)	中正路247巷/中山北路五段505巷(東南側)	46	121.526556	25.092546	捷運士林站(2號出口)
士林區	士林運動中心	承德路四段/大南路(東北側)	32	121.521814	25.089175	士林運動中心
北投區	捷運明德站	致遠一路一段46巷/西安街一段(東南側)	68	121.518316	25.110331	捷運明德站
北投區	北投運動中心	石牌路一段39巷100號前	62	121.509621	25.116665	北投運動中心
信義區	松德公園	松德路168巷20號前	76	121.57343	25.036568	松德公園
文山區	考試院	試院路(雙號)/木柵路一段(東北側)	34	121.549827	24.987507	考試院
士林區	百齡國小	前港街100巷/前港街(北方)	40	121.519175	25.08521	百齡國小
大同區	蔣渭水紀念公園	錦西街51號對面	80	121.516299	25.059885	蔣渭水紀念公園
士林區	中正基河路口	中正路420號前	76	121.519867	25.093396	中正基河路口
內湖區	瑞光港墘路口	瑞光路/港墘路(西南側)	60	121.57505	25.076193	瑞光港墘路口
內湖區	東湖國小	東湖路/東湖路119巷(西北側)	38	121.615938	25.068409	東湖國小
大同區	捷運中山站(2號出口)	南京西路/南京西路25巷(東北側)	30	121.52029	25.053082	捷運中山站(2號出口)
北投區	大豐公園	磺港路/大興街(東北側)	56	121.503768	25.131143	大豐公園
